0	0	0	0	0	0	0	0	0	0	4	7	0	9	0	5	0	7	0	1	8	0	6	0	0	0	0	0	
0	0	0	0	0	0	0	0	20	12	0	2	0	8	0	0	0	0	22	0	0	10	0	6	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	10	0	14	0	2	33	0	0	6	0	0	0	0	
0	0	0	0	0	0	0	0	1	11	0	4	4	0	2	1	6	0	16	10	0	0	10	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	4	0	0	0	11	0	0	0	4	0	5	15	1	5	0	0	0	0	
0	0	0	0	0	0	0	0	11	0	56	125	202	255	246	187	128	143	53	0	0	0	51	59	0	0	0	0	
0	0	0	0	0	0	0	0	0	15	192	255	247	253	255	255	255	238	255	122	19	167	255	255	0	0	0	0	
0	0	0	0	0	0	0	0	3	0	187	255	254	255	255	255	254	255	253	254	255	253	255	242	0	0	0	0	
0	0	0	0	0	0	0	0	8	0	131	255	254	255	2	1	0	55	255	255	250	255	254	64	0	0	0	0	
0	0	0	0	0	0	0	0	0	7	63	254	254	137	1	1	0	28	232	248	255	252	58	2	0	0	0	0	
0	0	0	0	0	0	0	0	3	0	0	255	255	234	1	2	1	192	255	255	255	62	16	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	5	255	238	255	6	58	127	255	255	245	125	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	4	7	7	188	255	231	134	184	255	245	252	178	22	4	9	7	0	0	0	0	
0	0	0	0	0	0	0	0	3	1	0	68	255	252	255	255	255	254	209	14	0	0	0	3	0	0	0	0	
0	0	0	0	0	0	0	0	0	2	10	5	191	255	242	255	242	255	44	0	10	4	22	0	0	0	0	0	
0	0	0	0	0	0	0	0	6	0	0	0	196	255	241	255	255	59	12	0	0	0	2	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	16	0	189	255	249	251	255	192	9	9	0	0	0	5	0	0	0	0	0	
0	0	0	0	0	0	0	0	9	0	206	253	247	255	249	131	0	0	1	0	14	6	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	129	251	255	248	233	255	255	11	19	8	2	0	0	0	12	0	0	0	0	
0	0	0	0	0	0	0	0	71	252	252	252	255	251	255	230	113	0	0	14	0	0	11	0	0	0	0	0	
0	0	0	0	0	0	0	0	171	255	244	255	255	74	240	255	248	19	1	6	0	0	12	0	0	0	0	0	
0	0	0	0	0	0	0	0	255	255	255	248	122	0	255	239	142	0	0	0	15	5	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	253	241	243	255	255	255	250	255	114	23	8	0	0	0	0	15	0	0	0	0	
0	0	0	0	0	0	0	0	124	255	255	252	242	255	244	252	62	5	0	6	3	1	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	126	186	197	248	244	144	59	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	15	2	0	12	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	8	5	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	6	11	5	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	
